date,keyword,platform,mention,sentiment,title,link,category
2026-04-25,가격,B tv+,60,negative,,,ETC
2026-04-26,B tv 플러스,Google News,1,neutral,"SK브로드밴드, B tv·이동식 TV 결합한 'B tv 무빙' 출시 - 뉴스후플러스",https://news.google.com/rss/articles/CBMibkFVX3lxTE1Wa2NKV3FETkI3VzExbzJLcDk5S1dWYVotenNRMHpOR1Z6dWdCYTlBOUhKZktFdnpPRkxpRDEwX2JGcjhVeUVVMHI4VWZ1b0pQaFo0R2ZwRkVLT00tR2RCMDhTUkthS3c0NTBpRmV3?oc=5,ETC
2026-04-26,B tv+,Google News,1,neutral,"""21세기 대군부인, 여기서 볼 수 있대""…B tv+ 누적 시청 1억시간 돌파 - 파이낸셜뉴스",https://news.google.com/rss/articles/CBMiXkFVX3lxTFBycktydXQzbE0yS3psb25abzhSXzVhU3IzLThEaGxCY0Q3Z1JvN004SkFRNXNIVDNtWDB3MHZpQXVRYl9UWUkwZTdWeFRnT25zX0gtQWVWVUlHUC00anfSAV5BVV95cUxQcnJLcnV0M2xNMkt6bG9uWm84Ul81YVNyMy04RGhsQmNEN2dSbzdNOEpBUTVzSFQzbVgwdzB2aUF1UWJfVFlJMGU3VnhUZ09uc19ILUFlVlVJR1AtNGp3?oc=5,ETC
2026-04-26,B tv 플러스,Google News,1,neutral,"""나한텐 칸이고 아카데미야""…씨네필 감동시킨 '이 채널', 비결은? - 머니투데이 - 머니투데이",https://news.google.com/rss/articles/CBMibEFVX3lxTFBZbjRzRzlubXpZajQtTEJDMjN0dVFZSmx5Q3dzT3J6bXc2NnRGRk44T2p3RFkyNTRBdEk3el9wQWdKUkhlY2tNX0VDSlJ5RXM4V1l6bVJyRnM1UFE4UE82S3NhTXVPVDdaTl9jStIBbEFVX3lxTFBZbjRzRzlubXpZajQtTEJDMjN0dVFZSmx5Q3dzT3J6bXc2NnRGRk44T2p3RFkyNTRBdEk3el9wQWdKUkhlY2tNX0VDSlJ5RXM4V1l6bVJyRnM1UFE4UE82S3NhTXVPVDdaTl9jSg?oc=5,ETC
2026-04-26,B tv 플러스,Google News,1,neutral,"SK브로드밴드, 합천·창원 경로당에 'B tv 온애드' 구축 확대 - 뉴스후플러스",https://news.google.com/rss/articles/CBMibkFVX3lxTE9WV3NQb2tHc2dhZURBMGpkeHBkcVM0LWR1bThXSzRobXphUHg2bGxLdVc1aVI5R3BNSUE3WTVnU3pWM3FlVGxRVTNWUTN4aXdnOTFsdEJiNnJDTjhZQTVGRnRySkZjZE95TG9Ra1FR?oc=5,ETC
2026-04-26,B tv 플러스,Google News,1,neutral,SK브로드밴드 'Btv'에서도 '넷플릭스' 볼 수 있다 - 뉴시스,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1EemxMNWpNNHoxOHhVbVh6aDRmUnlzUGd5cmtXUFJEWmJSS19JYTJzOUpHaEhQZDRYVVhjWnJ6a0xuOHlWOXpYY2NpYWZBN0tYNWpxTmR2a2tGeUFKYkkwedIBeEFVX3lxTE52eHZ4UjJhWlNlZkRSU19VQ2Q5bTVhZlhXXzBxYjNmOUxCX29fUWtkRlljcnNZUWg3LTFnbVFBWk9haUFDUm5iZXEzTlQ3cXg1Yl9MMW9tb2ZHZTh4Y1Y0QjZ0T3J6V044WDlzUE5qVXJqVU9HUW9QWQ?oc=5,ETC
2026-04-26,B tv plus,Google News,1,neutral,"SKB 'B tv+', 출시 21개월 만에 누적 시청 1억시간 돌파 - 파이낸셜뉴스",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9FT1JKSW9XLTN4em9GcmxMNlNlVFo0d3J0SHZ0bEQ2VnBZTVFVOHFQTnM0cUM5Zm1PblZpMnMzX3hia2VUcWlEdHY4VTMtZUtSYm5IMXoxZGR2Z9IBXkFVX3lxTE5Na2JFUWsxX0tLSDg1N0tmdlR3aVpGNmtuMDctMnQzM0RwZ2FBeHRIUktyTUVYT0k3bnllaXBGRGZaTXdjaksxR1puT2FXTThVV2JDTVliLS1kMm42NFE?oc=5,ETC
2026-04-26,B tv plus,Google News,1,neutral,"SK브로드밴드, 'B tv+' 가입자에 레전드 매치 직관 기회 제공 - 뉴스후플러스",https://news.google.com/rss/articles/CBMibkFVX3lxTE9DdTlsc2hxdlE0bDgxNlBIRG82d011UWZDTjlWbmd0QVJhRjBNaU5zSzVIZ3NPT3hjT2RLMXAtaktKZDhZVExJTlBiT3FqcjVYWnlwTFJiaHVINXdIbkQwWVN6SzZMVXQzeWJMZE13?oc=5,ETC
2026-04-26,B tv plus,Google News,1,neutral,"[영상]SK브로드밴드, 'B tv 온애드'로 스마트경로당 사업 확대 - 비즈니스플러스",https://news.google.com/rss/articles/CBMib0FVX3lxTE1mQW9CeGZneTVSQzg5amFUczN4T2ZlVzJqeEFXelRBaG1kTWtVSk0xdnpfdWJFajdOTWRLVHdjblR3WGxSTkYxQkNVaDVNTlo0S1pSdlNLeWVZN052TUFuenF5bkhYOXBrNU84RHQ0VQ?oc=5,ETC
2026-04-26,B tv plus,Google News,1,neutral,"SK브로드밴드, B tv+ 가입자 대상 KBO 포스트시즌 티켓 이벤트 진행 - 톱스타뉴스",https://news.google.com/rss/articles/CBMickFVX3lxTE5MOXdWWHhiVkMyUTZGdXlPMlR1UkZMUTctcjl5UkM0bXVZME8wSjhvdTlvQmZWODVLb25KeU9QcFdiMFp1OVVVekcyZzlNdlQyN2hEaU1IaEk2ZE5oc3FMYy15Nmk0V0ZuNnJPTUcyaEdmZw?oc=5,ETC
2026-04-26,B tv plus,Google News,1,neutral,"‘실시간 채널·VOD 한번에’...SK브로드밴드, 요금제 ‘B tv All 플러스’ 출시 - 매일경제",https://news.google.com/rss/articles/CBMiTkFVX3lxTFBPdVhqSFJQbnBlTmpJQlhYSnFlMU1pQU12N1AydU92aGFQbmpEb3VEbDJkUVFMaFNjZEpUcWhmS000QkpWVi1adlR5OURIUQ?oc=5,ETC
2026-04-26,B tv plus,Google News,1,neutral,"평택, 임산부·영유아 영양플러스 사업 운영 - B world",https://news.google.com/rss/articles/CBMicEFVX3lxTFA5NzcydUx2emNqaWVrNXRCcTg1dy1PVm1tWVZzZE9zZGl3SFNPaWhibkFtbWhQNElyVTdaRVFjRlRKYmlGOWdTREI5OC1NZm4xUkdzN2I3cDVZT1RSVlFVa0UxNHpzS01NRGlKUFJMMnE?oc=5,ETC
2026-04-26,B tv plus,Google News,1,neutral,월 2만원대 VOD 무제한 시청 ‘B tv 올 플러스’ 출시 - 문화일보,https://news.google.com/rss/articles/CBMiUEFVX3lxTE9yMDBKSjVEcjJjY19RU2JjZm9lSE0xT0xuVlZKSm9heGNHNmR0RDZSdHc0dXd1Q1dVaGpzRjNvcHoxQ2hieFoxODdTSnFvSUNh?oc=5,ETC
2026-04-26,B tv plus,Google News,1,neutral,"SK브로드밴드, 유료방송 최초 숏폼 홈쇼핑 서비스 선보여 - 뉴스후플러스",https://news.google.com/rss/articles/CBMibkFVX3lxTE94Um04N0l2WkUtUDhWb2NRZl9HSE5pdWl6SGtwNlJMSWJiRWdLQ1A2UV9ZNTIyNkFlQml4R2lOMUo1MWY0dFBQbl9tWlZPRUtLWFU4d3Bfb1J3UFZvOVowLVJ6Q1JFWTRiTkZXcGVR?oc=5,ETC
